,epoch,test_acc,test_loss,train_acc,train_loss
0,2,0.1413,2.2689552187919615,0.21363333333333337,1.8517181169986723
1,4,0.1841,2.221623170375824,0.22363333333333335,1.820704287290573
2,6,0.2335,2.0662891030311585,0.24330000000000004,1.8534417776266736
3,8,0.2744,1.9678994357585906,0.2578,1.816498614947001
4,10,0.2853,1.9394258737564087,0.2929,1.899195863008499
5,12,0.2902,1.9257961928844451,0.3028666666666667,1.8739515308539076
6,14,0.3026,1.904637187719345,0.2618,1.5318898141384125
7,16,0.3043,1.882495152950287,0.26866666666666666,1.517538006305695
8,18,0.3214,1.8380896151065826,0.30113333333333336,1.6186144936084748
9,20,0.2955,1.883119559288025,0.30293333333333344,1.6035311257839204
10,22,0.31,1.8558179497718812,0.31466666666666665,1.662708180348079
11,24,0.3117,1.8547965049743653,0.3235333333333333,1.6395400997002918
12,26,0.3054,1.9241923570632935,0.31636666666666674,1.5813296830654142
13,28,0.3003,1.9435742557048798,0.3119,1.586689225832621
14,30,0.2964,1.9209537208080292,0.35223333333333334,1.7534123595555624
15,32,0.3001,1.93900505900383,0.3508,1.7496694199244178
16,34,0.3045,1.8870290160179137,0.3315666666666666,1.6279111818472547
17,36,0.327,1.8005402266979218,0.3302333333333334,1.6213471651077276
18,38,0.3263,1.8080259144306183,0.2986333333333333,1.4453569992383324
19,40,0.3347,1.7732767820358277,0.3026,1.4310580058892566
20,42,0.3284,1.7802082359790803,0.3060333333333334,1.4245068279902136
21,44,0.3307,1.7809939980506897,0.3082333333333334,1.4167068978150688
22,46,0.3592,1.7364350974559783,0.34346666666666664,1.5922707887490588
23,48,0.3642,1.7294945657253264,0.34800000000000003,1.5851985156536106
24,50,0.3648,1.729819232225418,0.32003333333333334,1.3976870524883271
