,epoch,test_acc,test_loss,train_acc,train_loss
0,2,0.1228,2.3934638500213623,0.19186666666666663,1.735608690977097
1,4,0.1088,2.479411518573761,0.1990333333333333,1.7119363367557527
2,6,0.1394,2.3136772990226744,0.24863333333333335,2.0197858389218646
3,8,0.1801,2.4064447402954103,0.2709333333333333,1.9807803809642792
4,10,0.1995,2.40667839050293,0.22970000000000004,1.6345565756162002
5,12,0.1687,2.5635368704795836,0.2324333333333333,1.6278943026065829
6,14,0.1739,2.6585975646972657,0.28876666666666667,1.9289628895123798
7,16,0.1872,2.7216711401939393,0.29519999999999996,1.9145510296026866
8,18,0.1819,2.6891146540641784,0.2850333333333333,1.7679618390401206
9,20,0.1789,2.794443905353546,0.29246666666666665,1.7535031712055202
10,22,0.1829,2.9081811547279357,0.2878333333333333,1.674000552892685
11,24,0.1871,2.967230534553528,0.2877,1.676138410965601
12,26,0.1807,3.1114009141922,0.3182,1.8749401692549392
13,28,0.1868,3.0646206617355345,0.31236666666666674,1.891114766200383
14,30,0.1893,3.279777538776398,0.28633333333333333,1.6892000397046403
15,32,0.176,3.467775285243988,0.2864666666666667,1.689579477707545
16,34,0.1844,3.4596768498420714,0.2672999999999999,1.5844121770064035
17,36,0.1782,3.466019892692566,0.26163333333333333,1.5924581229686738
18,38,0.178,3.510666084289551,0.2651333333333333,1.5917057307561235
19,40,0.1797,3.6570568561553953,0.2647,1.6025469871362048
20,42,0.1653,3.685367250442505,0.257,1.6403158275286358
21,44,0.1769,3.6982829213142394,0.25083333333333335,1.65807723124822
22,46,0.1935,3.6968318104743956,0.2412,1.6964969686667126
23,48,0.1828,3.775774562358856,0.24163333333333334,1.682311412493388
24,50,0.1831,3.7743768453598023,0.23256666666666667,1.7142449454466504
