,epoch,test_acc,test_loss,train_acc,train_loss
0,2,0.1318,2.4133288145065306,0.21896666666666667,1.936120022535324
1,4,0.1455,2.3781137466430664,0.22056666666666666,1.9197885362307232
2,6,0.1486,2.4076433777809143,0.23173333333333332,1.8099829804897303
3,8,0.1556,2.46875661611557,0.2383666666666667,1.779178899526596
4,10,0.1735,2.4526193857192995,0.2727666666666666,1.9632273713747657
5,12,0.1586,2.4377188205718996,0.2903,1.9230509948730468
6,14,0.1679,2.4884601831436157,0.2769666666666667,1.771699597040812
7,16,0.1539,2.543706715106964,0.28886666666666666,1.7530879727999373
8,18,0.1697,2.529327058792114,0.3133,1.8624862714608519
9,20,0.1742,2.554336702823639,0.32193333333333335,1.8347875297069551
10,22,0.1788,2.49966105222702,0.3265333333333333,1.821204340855281
11,24,0.1693,2.6509607553482057,0.32426666666666665,1.8275646110375723
12,26,0.1623,2.7169069051742554,0.3312333333333334,1.8215924370288852
13,28,0.149,2.9109657049179076,0.33659999999999995,1.817714684009552
14,30,0.1473,2.867048478126526,0.33556666666666674,1.8186166195074718
15,32,0.1496,2.8191768765449523,0.34013333333333323,1.8077759353319804
16,34,0.144,2.9422484040260315,0.33326666666666677,1.8162931648890177
17,36,0.1461,2.8423993825912475,0.34563333333333324,1.794448661406835
18,38,0.1614,2.657402014732361,0.34393333333333326,1.7924500481287637
19,40,0.1582,2.689899468421936,0.3494,1.781689526240031
20,42,0.1634,2.722368848323822,0.35536666666666666,1.7699254425366722
21,44,0.1679,2.7031970500946043,0.35883333333333334,1.7610971875985462
22,46,0.1626,2.748100733757019,0.3566000000000001,1.764373655319214
23,48,0.1559,2.8228419542312624,0.35593333333333327,1.7673674662907919
24,50,0.16,2.7721983551979066,0.3617333333333333,1.7520163985093438
