,epoch,test_acc,test_loss,train_acc,train_loss
0,2,0.1708,2.2434059977531433,0.22964285714285718,2.0940256902149743
1,4,0.2005,2.2099225759506225,0.24900000000000005,2.03339837874685
2,6,0.2231,2.1624581933021547,0.25925000000000004,1.9973861289875845
3,8,0.2394,2.111465835571289,0.27249999999999996,1.9668159361396513
4,10,0.2332,2.094794309139252,0.2804285714285714,1.9503120047705516
5,12,0.2366,2.093250334262848,0.28764285714285714,1.923084636245455
6,14,0.2536,2.077246105670929,0.30149999999999993,1.9005204503025328
7,16,0.2534,2.074622297286987,0.30210714285714285,1.896331095269748
8,18,0.2624,2.050716722011566,0.30650000000000005,1.8688627762453898
9,20,0.2793,2.0114467561244966,0.31335714285714283,1.847511839440891
10,22,0.2669,2.0291330218315125,0.31646428571428575,1.8327051043510436
11,24,0.2739,2.0104847073554994,0.3351785714285715,1.8070856090102883
12,26,0.2782,1.9728735029697417,0.3346785714285714,1.790812684382711
13,28,0.2693,1.9731067895889283,0.3397857142857142,1.7874331819159643
14,30,0.2649,1.985726261138916,0.34482142857142856,1.7734901994466783
15,32,0.2757,1.9713277041912078,0.3533928571428571,1.7565192260912486
16,34,0.2693,1.9708900809288026,0.35157142857142853,1.7518699271338325
17,36,0.2714,1.9522156774997712,0.35210714285714284,1.7478040239640644
18,38,0.2592,2.0021639108657836,0.36232142857142857,1.7312189140490122
19,40,0.2606,2.0325420022010805,0.3616071428571429,1.7211891097681862
20,42,0.2723,1.9585977911949157,0.3704285714285714,1.7102237624781471
21,44,0.2995,1.9061794459819794,0.37267857142857136,1.6998883375099727
22,46,0.2815,1.9504495859146118,0.3776071428571428,1.693377461177962
23,48,0.2532,2.0912908554077148,0.37732142857142853,1.6960004380771097
24,50,0.2716,2.003802925348282,0.38378571428571445,1.6775200422321048
