,epoch,test_acc,test_loss,train_acc,train_loss
0,2,0.122,2.3796099543571474,0.13578571428571426,2.408965184858867
1,4,0.1556,2.41199209690094,0.16289285714285714,2.3475571743079597
2,6,0.1315,3.0251495480537414,0.18642857142857142,2.307708074791091
3,8,0.1321,3.749041402339935,0.19942857142857134,2.319430837035179
4,10,0.1554,3.783262085914612,0.21796428571428567,2.301711082032748
5,12,0.1352,4.350680470466614,0.24250000000000008,2.198184924892017
6,14,0.1225,4.900332570075989,0.25860714285714287,2.1553799237523754
7,16,0.1139,6.252204966545105,0.25775000000000003,2.2551771444933753
8,18,0.1135,8.151828050613403,0.26660714285714293,2.310422506076949
9,20,0.1135,9.03200101852417,0.28739285714285717,2.301984485558101
10,22,0.1135,6.750839591026306,0.2850357142857142,2.301744859984943
11,24,0.1135,5.476319313049316,0.18589285714285714,2.4875266564743854
12,26,0.1135,6.256360483169556,0.2007857142857143,2.4640840334551677
13,28,0.1135,7.15072500705719,0.25360714285714286,2.344642550178936
14,30,0.1135,8.655376100540161,0.28546428571428567,2.2622825550181527
15,32,0.1135,8.84695324897766,0.3011428571428571,2.2435821852513724
16,34,0.1135,7.773032546043396,0.31657142857142856,2.2382298665387292
17,36,0.1135,7.836172962188721,0.3135,2.2182633029563084
18,38,0.1135,7.666493535041809,0.2935,2.303467077868326
19,40,0.1135,7.635245418548584,0.2934999999999999,2.2826230904885696
20,42,0.1135,9.063912773132325,0.32157142857142856,2.194795604688781
21,44,0.1135,9.637843370437622,0.33167857142857143,2.169885497859546
22,46,0.1135,10.021370029449463,0.33082142857142866,2.201196541956493
23,48,0.1135,10.127195405960084,0.3484642857142858,2.1787432321480344
24,50,0.1135,8.794859361648559,0.3373214285714286,2.2218066432646344
