,epoch,test_acc,test_loss,train_acc,train_loss
0,2,0.1813,2.3081049799919127,0.22182142857142856,2.1098943254777365
1,4,0.1807,2.222780704498291,0.244,2.036318630405835
2,6,0.2156,2.2082440733909605,0.2558928571428572,2.0016121493918555
3,8,0.1837,2.312273347377777,0.2713571428571428,1.9658561906644276
4,10,0.1881,2.3896660804748535,0.28110714285714283,1.9566795123474938
5,12,0.1962,2.448562502861023,0.28439285714285717,1.927309833679881
6,14,0.2003,2.429870629310608,0.29999999999999993,1.9147997545344488
7,16,0.2031,2.389628601074219,0.3023928571428571,1.8978948397295816
8,18,0.1845,2.535502052307129,0.31521428571428567,1.8689531858478277
9,20,0.1964,2.455203723907471,0.31796428571428575,1.856460853133883
10,22,0.1763,2.546361565589905,0.31953571428571426,1.8573759645223618
11,24,0.1793,2.5767356395721435,0.3152499999999999,1.864225935084479
12,26,0.1731,2.5892830729484557,0.30889285714285714,1.8895889725003918
13,28,0.176,2.63335919380188,0.30203571428571435,1.8969414676938736
14,30,0.1925,2.5894089460372927,0.3136071428571429,1.8891991721732277
15,32,0.1893,2.66557776927948,0.31514285714285706,1.8885117198739734
16,34,0.1818,2.719084370136261,0.31103571428571436,1.8924225883824484
17,36,0.1944,2.7055846571922304,0.3048571428571428,1.9141546300479344
18,38,0.1938,2.7236000418663027,0.3095714285714286,1.90932166661535
19,40,0.2019,2.6535893797874452,0.3092857142857142,1.9081831668104443
20,42,0.1934,2.7097904324531554,0.3102142857142858,1.90582458121436
21,44,0.1985,2.707151401042938,0.30753571428571425,1.9131000195230752
22,46,0.1923,2.775707113742828,0.31071428571428567,1.9026931652000976
23,48,0.1963,2.8223352432250977,0.30510714285714285,1.9167054231677736
24,50,0.1929,2.79937287569046,0.3078928571428571,1.9064969279936381
