,epoch,test_acc,test_loss,train_acc,train_loss
0,2,0.1938,2.2506643652915956,0.22742857142857145,2.0975915095635824
1,4,0.1934,2.187841463088989,0.24221428571428572,2.048105358651706
2,6,0.2252,2.08564875125885,0.24671428571428572,2.0145213995661058
3,8,0.2405,2.0506937742233275,0.2603928571428572,1.9739363546882358
4,10,0.2398,2.061892431974411,0.27532142857142855,1.9533123075962064
5,12,0.2465,2.074984037876129,0.28867857142857145,1.9168704573597228
6,14,0.2604,2.0732369422912598,0.29657142857142865,1.8993538311549596
7,16,0.2729,2.040942096710205,0.30321428571428566,1.8773734382220675
8,18,0.2744,2.051795071363449,0.31489285714285714,1.8486427413565771
9,20,0.2705,2.038921928405762,0.3175357142857142,1.8317216592175618
10,22,0.2701,1.994493305683136,0.32878571428571435,1.810297902567046
11,24,0.3024,1.9233644485473633,0.33232142857142855,1.7912492688213082
12,26,0.3004,1.910305094718933,0.34214285714285714,1.769327643087932
13,28,0.2985,1.9347666680812836,0.35407142857142854,1.7538759137902942
14,30,0.3011,1.974268490076065,0.3598571428571429,1.748192884666579
15,32,0.301,1.9853797614574433,0.36553571428571424,1.73014445900917
16,34,0.3121,1.9648638367652893,0.3761071428571428,1.7049611730234968
17,36,0.3014,1.995854276418686,0.37092857142857133,1.7095467971903935
18,38,0.2909,2.015405946969986,0.378,1.6951757597071782
19,40,0.3037,1.9891208946704864,0.3851071428571428,1.6787665707724435
20,42,0.3164,1.9638899564743042,0.38417857142857137,1.6798014606748308
21,44,0.3107,2.000611054897308,0.39410714285714293,1.6648024601595743
22,46,0.3162,1.966750681400299,0.39457142857142863,1.645521893245833
23,48,0.318,1.9567468225955964,0.4057500000000001,1.6358171471527645
24,50,0.3218,1.968877774477005,0.40714285714285714,1.627592200892312
