,epoch,test_acc,test_loss,train_acc,train_loss
0,2,0.0892,2.4817142248153687,0.1265,2.4293499537876677
1,4,0.1381,2.375908041000366,0.13967857142857146,2.385078298194068
2,6,0.1786,2.484743022918701,0.15232142857142855,2.3470904912267407
3,8,0.191,2.4497533798217774,0.17396428571428574,2.300557243824005
4,10,0.1815,2.7016772508621214,0.1968571428571429,2.254819740993636
5,12,0.2053,2.573500323295593,0.21642857142857144,2.1735693948609485
6,14,0.203,2.488704228401184,0.22814285714285715,2.1519960978201453
7,16,0.2181,2.33111093044281,0.23503571428571426,2.126261093361037
8,18,0.2415,2.3895422339439394,0.24614285714285714,2.09834883766515
9,20,0.2472,2.3292844176292418,0.2636071428571428,2.0341619610786434
10,22,0.2514,2.349993681907654,0.27749999999999997,2.003599124295371
11,24,0.2696,2.287836480140686,0.28214285714285714,1.997032007575035
12,26,0.2923,2.314911985397339,0.29124999999999995,1.94949740256582
13,28,0.275,2.4009514808654786,0.30103571428571424,1.9204555519989561
14,30,0.2439,2.444008433818817,0.30224999999999996,1.9347186505794525
15,32,0.1614,2.553432548046112,0.31067857142857136,1.9108959887708934
16,34,0.1928,2.496215307712555,0.31289285714285714,1.9020325158323559
17,36,0.234,2.5751857995986938,0.31253571428571425,1.9183988588196892
18,38,0.1293,2.8280370950698854,0.32967857142857154,1.8738049975463322
19,40,0.1135,3.008792591094971,0.3140714285714285,1.933616488746234
20,42,0.1442,3.059686744213104,0.3251428571428572,1.926812116588865
21,44,0.1711,3.085368978977203,0.3250357142857143,1.9337332746812272
22,46,0.1701,3.1112306475639344,0.3474285714285715,1.8545768422739848
23,48,0.1188,4.027673363685608,0.33278571428571435,1.9254147461482458
24,50,0.1002,4.1615392684936525,0.3232142857142857,2.068512936149325
