,epoch,test_acc,test_loss,train_acc,train_loss
0,2,0.1874,2.189649224281311,0.23689285714285704,2.072414397767612
1,4,0.2525,2.0885064601898193,0.26289285714285715,2.0021316826343534
2,6,0.2587,2.039657974243164,0.2698928571428571,1.9608126406158717
3,8,0.2899,1.9930677175521851,0.2796785714285715,1.9354254633188248
4,10,0.2965,1.9658719599246979,0.29274999999999995,1.9047893341098512
5,12,0.2911,1.9388010621070861,0.30885714285714283,1.8710763820580072
6,14,0.295,1.934345942735672,0.32057142857142845,1.8309736941541945
7,16,0.2973,1.920673131942749,0.3289642857142857,1.8104426954473767
8,18,0.3157,1.895720249414444,0.3411071428571429,1.776036751270294
9,20,0.3311,1.855310821533203,0.35435714285714287,1.7522381620747702
10,22,0.2669,2.1004881381988527,0.3493928571428571,1.7663035724844256
11,24,0.1387,2.4706238865852357,0.34625,1.8011566468647544
12,26,0.0849,2.7910393357276915,0.3373214285714286,1.8446773141622541
13,28,0.074,3.1244932293891905,0.3261785714285713,1.8999800831079485
14,30,0.07,3.338057744503021,0.32503571428571426,1.9225168292011534
15,32,0.0738,3.529890537261963,0.3338928571428571,1.9160626700946266
16,34,0.0647,3.7796282052993773,0.3111428571428571,2.0226074291127074
17,36,0.0631,4.038821744918823,0.30196428571428574,2.0789160038743697
18,38,0.0628,4.269558668136597,0.30596428571428574,2.0631739207676474
19,40,0.0614,4.33067901134491,0.3150714285714285,2.0538041740655903
20,42,0.0546,4.444429993629456,0.30653571428571424,2.083747909750257
21,44,0.0554,4.538127541542053,0.3102142857142858,2.0988128393888474
22,46,0.0523,4.6604756116867065,0.3186428571428571,2.070258821334158
23,48,0.0518,4.757585716247559,0.32535714285714284,2.0497024791581286
24,50,0.0505,4.926888537406922,0.3027857142857142,2.145190794553076
