,epoch,test_acc,test_loss,train_acc,train_loss
0,2,0.1713,2.3165884137153627,0.2258571428571429,2.1035798647574016
1,4,0.206,2.290865898132324,0.23482142857142854,2.056875672510692
2,6,0.1938,2.4805492997169494,0.25460714285714275,2.025746326361383
3,8,0.1959,2.4388612270355225,0.26407142857142857,2.005038159234183
4,10,0.2182,2.3697434425354005,0.267,1.9962713760989053
5,12,0.2248,2.4856817722320557,0.27167857142857144,1.9717225658042086
6,14,0.1906,2.571514308452606,0.27925000000000005,1.9672806633370263
7,16,0.2171,2.5253031611442567,0.2948571428571428,1.9301056112561905
8,18,0.2119,2.636123013496399,0.30182142857142863,1.9098082338060656
9,20,0.2236,2.7068384647369386,0.30814285714285716,1.892201774460929
10,22,0.2363,2.644319212436676,0.3200000000000001,1.8659044231687272
11,24,0.2395,2.6642648935317994,0.32335714285714284,1.8561721742153172
12,26,0.2529,2.6159371018409727,0.32607142857142846,1.8578776129654477
13,28,0.229,2.5322972536087036,0.3392857142857143,1.8154865409646717
14,30,0.2216,2.520955276489258,0.33735714285714286,1.8130996142114912
15,32,0.2153,2.564111614227295,0.3430714285714286,1.7964329046862468
16,34,0.2193,2.3674907803535463,0.3461071428571428,1.7889449260064538
17,36,0.2245,2.439001905918121,0.3547857142857142,1.7604871315615518
18,38,0.2546,2.3943500399589537,0.3612499999999999,1.7587992353098734
19,40,0.241,2.342395043373108,0.3657857142857143,1.7454082131385806
20,42,0.2597,2.234906089305878,0.36953571428571425,1.7340392555509294
21,44,0.2629,2.2627756237983703,0.37839285714285725,1.714923291546958
22,46,0.2819,2.250122344493866,0.3818214285714286,1.6965805398566385
23,48,0.2776,2.302628290653229,0.38925000000000004,1.6922111685786931
24,50,0.2781,2.3029105067253113,0.3817500000000001,1.7030024307114735
